generation,best_fitness,avg_fitness,best_value,best_individual
0,0.18,0.07,526,000100011100001000000100100010
1,0.20,0.09,594,000001111100001000000100100010
2,0.20,0.12,594,000001111100001000000100100010
3,0.20,0.13,594,000001111100001000000100100010
4,0.20,0.14,605,000101111000001000000100100010
5,0.22,0.16,646,101101101100000000100100100010
6,0.22,0.18,655,001101111100000000000100100010
7,0.23,0.18,694,100101111100000000100100100010
8,0.23,0.19,694,100101111100000000100100100010
9,0.23,0.21,694,100101111100000000100100100010
10,0.23,0.22,694,100101111100000000100100100010
11,0.23,0.22,694,100101111100000000100100100010
12,0.23,0.23,694,100101111100000000100100100010
13,0.23,0.23,694,100101111100000000100100100010
14,0.23,0.23,694,100101111100000000100100100010
15,0.23,0.23,694,100101111100000000100100100010
16,0.23,0.22,694,100101111100000000100100100010
17,0.23,0.23,694,100101111100000000100100100010
18,0.23,0.23,694,100101111100000000100100100010
19,0.23,0.22,694,100101111100000000100100100010
20,0.23,0.22,694,100101111100000000100100100010
21,0.23,0.22,694,100101111100000000100100100010
22,0.23,0.22,694,100101111100000000100100100010
23,0.23,0.22,694,100101111100000000100100100010
24,0.23,0.22,694,100101111100000000100100100010
25,0.23,0.22,694,100101111100000000100100100010
26,0.23,0.23,694,100101111100000000100100100010
27,0.23,0.23,694,100101111100000000100100100010
28,0.23,0.23,694,100101111100000000100100100010
29,0.23,0.23,694,100101111100000000100100100010
30,0.23,0.23,694,100101111100000000100100100010
31,0.23,0.23,694,100101111100000000100100100010
32,0.23,0.23,694,100101111100000000100100100010
33,0.23,0.23,694,100101111100000000100100100010
34,0.23,0.23,694,100101111100000000100100100010
35,0.23,0.22,694,100101111100000000100100100010
36,0.23,0.23,694,100101111100000000100100100010
37,0.23,0.23,694,100101111100000000100100100010
38,0.23,0.23,694,100101111100000000100100100010
39,0.23,0.23,694,100101111100000000100100100010
40,0.23,0.23,694,100101111100000000100100100010
41,0.23,0.23,694,100101111100000000100100100010
42,0.23,0.23,694,100101111100000000100100100010
43,0.23,0.23,694,100101111100000000100100100010
44,0.23,0.23,694,100101111100000000100100100010
45,0.23,0.22,694,100101111100000000100100100010
46,0.23,0.23,694,100101111100000000100100100010
47,0.23,0.22,694,100101111100000000100100100010
48,0.23,0.23,694,100101111100000000100100100010
49,0.23,0.23,694,100101111100000000100100100010
50,0.23,0.22,694,100101111100000000100100100010
51,0.23,0.23,694,100101111100000000100100100010
52,0.23,0.23,694,100101111100000000100100100010
53,0.23,0.23,694,100101111100000000100100100010
54,0.23,0.23,694,100101111100000000100100100010
55,0.23,0.22,694,100101111100000000100100100010
56,0.23,0.23,694,100101111100000000100100100010
57,0.23,0.23,694,100101111100000000100100100010
58,0.23,0.23,694,100101111100000000100100100010
59,0.23,0.23,694,100101111100000000100100100010
